Country ,Country Code,2014,2015,2016,2017,2018
Guinea-Bissau,GNB,1506.589514,1574.461164,1648.438332,1734.714909,1799.067891
Equatorial Guinea,GNQ,33542.76508,29592.37967,26232.13378,24532.952,22743.82443
Greece,GRC,26838.45523,26902.52532,27273.93458,28579.79453,29592.15242
Grenada,GRD,12424.06768,13280.98243,13844.14347,14654.86644,15557.54504
Greenland,GRL,,,,,
Guatemala,GTM,7552.717983,7788.497934,7955.320011,8166.857467,8462.374008
Guam,GUM,,,,,
Guyana,GUY,7302.406982,7565.799719,7865.450609,8142.576098,8640.73737
High income,HIC,44581.0875,45831.411,47015.70317,48929.99014,50630.96212
"Hong Kong SAR, China",HKG,55781.77367,57235.19123,58755.32006,61713.41554,64596.56385
Honduras,HND,4398.096634,4536.135356,4683.126696,4916.723792,5138.752457
Heavily indebted poor countries (HIPC),HPC,2196.52486,2265.704458,2335.353033,2437.007118,2530.644477
Croatia,HRV,22062.0257,23013.62205,24511.89485,26351.90704,27579.78083
Haiti,HTI,1750.202933,1766.044239,1787.159403,1818.606695,1866.617589
Hungary,HUN,25604.98821,26668.04088,27171.15945,29159.12645,31102.50275
IBRD only,IBD,11931.44242,12408.75818,13026.66217,13860.35428,14749.82774
IDA & IBRD total,IBT,9851.757594,10217.63376,10681.30052,11319.9769,12003.29627
IDA total,IDA,3517.016288,3627.906511,3715.755037,3871.705107,4059.557395
IDA blend,IDB,5029.338542,5172.738392,5232.508828,5384.441433,5614.24668
Indonesia,IDN,10570.19504,11063.06221,11604.52525,12279.18328,13079.6193
IDA only,IDX,2723.947516,2817.383172,2921.947122,3082.516503,3249.854407
Isle of Man,IMN,,,,,
India,IND,5682.731285,6133.887015,6634.844574,7168.992484,7762.88177
Not classified,INX,,,,,
Ireland,IRL,51067.97671,69056.04604,70522.22592,77596.35505,83203.39468
"Iran, Islamic Rep.",IRN,18101.7763,17817.63647,20150.32226,21011.28831,
Iraq,IRQ,15950.19629,15981.31509,18085.87647,17519.05422,17435.85393
Iceland,ISL,45714.89381,48728.09936,52582.29385,55322.09013,57303.06078
Israel,ISR,34212.94449,35436.81087,37463.19908,38866.1107,39919.16965
Italy,ITA,36194.87392,36909.32837,39178.4,41200.02872,41830.42633
Jamaica,JAM,8473.743427,8595.88659,8763.300248,8974.33982,9326.664059
Jordan,JOR,9123.978709,9089.006864,9092.954278,9241.513754,9478.904588
Japan,JPN,39179.15561,40396.24321,41118.07804,41958.96216,42797.45852
Kazakhstan,KAZ,24924.37021,25123.31799,25314.86554,26490.84377,27879.75195
Kenya,KEN,2867.10191,2988.073282,3121.830489,3258.154499,3467.556478
Kyrgyz Republic,KGZ,3356.983448,3453.360746,3567.812684,3733.606138,3884.708809
Cambodia,KHM,3300.61675,3513.82356,3742.958793,4019.679985,4360.854404
Kiribati,KIR,1917.627413,2110.117273,2210.850719,2227.920995,2293.920333
St. Kitts and Nevis,KNA,27910.15016,28261.41206,29137.82185,28869.68919,30207.79021
"Korea, Rep.",KOR,33587.5834,35760.73444,37142.8329,38824.11539,40111.77576
Kuwait,KWT,76703.31167,75042.14197,75689.27575,71695.56421,72897.56235
Latin America & Caribbean (excluding high income),LAC,15156.88574,15155.39686,15156.15439,15604.96578,16017.99609
Lao PDR,LAO,5689.82855,6075.952799,6473.243696,6942.238417,7439.59936
Lebanon,LBN,13049.03296,12695.41014,12693.56418,12813.86955,13081.10746
Liberia,LBR,1328.913111,1309.269565,1269.886223,1293.415934,1308.629536
Libya,LBY,16870.48513,15403.57322,14964.52288,19056.8043,20764.16414
St. Lucia,LCA,12416.87345,12520.76322,12990.80775,13505.45477,13881.37213
Latin America & Caribbean,LCN,15654.73684,15661.93512,15674.98005,16156.20469,16590.22225
Least developed countries: UN classification,LDC,2572.910826,2650.399936,2728.232875,2857.675589,2995.447758
Low income,LIC,2029.215229,2057.381785,2095.551678,2184.874577,2287.806888
Liechtenstein,LIE,,,,,
Sri Lanka,LKA,11250.30924,11830.69575,12359.34586,12878.58867,13473.66309
Lower middle income,LMC,6056.980528,6385.857221,6741.405472,7166.048595,7655.137875
Low & middle income,LMY,9664.154347,10026.31459,10488.83226,11115.41974,11793.53738
Lesotho,LSO,2972.012946,3062.068836,3170.578608,3132.495534,3219.457157
Late-demographic dividend,LTE,15330.12418,15955.48804,16689.0103,17812.90106,19073.35995
Lithuania,LTU,28156.13581,28823.81289,30334.19087,33314.74037,35461.3591
Luxembourg,LUX,101297.5757,103750.7751,108165.7614,110589.1924,113337.4205
Latvia,LVA,23844.22612,24830.93429,25875.98735,28115.34769,30304.8525
"Macao SAR, China",MAC,137832.9615,107069.5956,105577.6662,116370.7403,123892.1664
St. Martin (French part),MAF,,,,,
Morocco,MAR,7507.240831,7822.968048,7885.837651,8267.345841,8611.709833
Monaco,MCO,,,,,
Moldova,MDA,6035.022647,6082.841894,6424.371154,6858.891958,7271.641919
Madagascar,MDG,1693.795099,1718.597532,1758.845163,1813.515493,1891.320668
Maldives,MDV,13622.88572,13546.05023,13931.36278,14523.99637,15307.72194
Middle East & North Africa,MEA,18585.6686,18877.15572,19756.56365,20096.90388,20712.43251
Mexico,MEX,18045.98446,18284.88284,18783.16158,19423.92769,19844.64567
Marshall Islands,MHL,3443.028342,3519.218145,3585.710747,3780.93897,3989.037658
Middle income,MIC,10568.27138,10982.11721,11508.83453,12216.2633,12983.19953
North Macedonia,MKD,13368.14674,13831.22799,14813.35745,15298.95193,16358.66205
Mali,MLI,1974.217655,2053.128574,2131.589703,2221.757886,2316.6552
Malta,MLT,33391.11068,36195.56319,38347.86857,41510.28901,42581.09786
Myanmar,MMR,5005.999653,5372.241161,5709.871361,6172.392649,6674.028647
Middle East & North Africa (excluding high income),MNA,12427.76456,12478.38396,13343.38173,13752.40842,
Montenegro,MNE,15371.1069,16337.25379,17866.47225,19355.01984,20689.98675
Mongolia,MNG,11925.8134,12100.12735,12140.84709,12791.57934,13799.90485
Northern Mariana Islands,MNP,,,,,
Mozambique,MOZ,1291.74681,1354.391906,1381.315497,1418.485398,1459.698413
Mauritania,MRT,3993.317015,3937.947108,3940.244577,4023.499238,4150.965246
Mauritius,MUS,19290.69193,20162.99668,21151.24777,22355.19052,23750.98804
Malawi,MWI,1207.29441,1220.229587,1230.416571,1269.644595,1310.995555
Malaysia,MYS,25875.50267,27116.57626,28246.75055,30025.17655,31782.15336
North America,NAC,54092.87647,55578.09015,56608.44707,58594.47232,61303.19065
Namibia,NAM,10598.66867,11160.37964,11200.42787,11104.41938,11101.82628
New Caledonia,NCL,,,,,
Niger,NER,951.1605867,964.8380788,984.6831336,1012.859196,1063.421841
Nigeria,NGA,6009.989453,6072.477295,5882.98734,5887.573078,5990.850432
Nicaragua,NIC,4950.081248,5174.972123,5400.248939,5687.231512,5533.551064
Netherlands,NLD,49233.2154,50302.06775,51338.57326,54503.08193,56328.94114
Norway,NOR,65892.68928,60385.11676,57744.27451,62012.40776,65510.58527
Nepal,NPL,2520.689553,2621.766575,2641.971128,2874.983331,3089.556352
Nauru,NRU,13273.48365,13104.48037,13982.20157,15039.31757,16504.25793
New Zealand,NZL,37260.6294,37475.17836,39122.54213,40438.57095,41005.42087
OECD members,OED,40169.9652,41321.40507,42379.5574,44202.23048,45623.90308
Oman,OMN,41950.78764,41911.08648,42375.54543,41563.63827,41859.93448
Other small states,OSS,25120.43334,25554.35886,25918.99758,26472.76437,27067.52837
Pakistan,PAK,4593.96424,4762.296721,4975.654395,5241.938741,5567.055608
Panama,PAN,21167.17679,22237.09305,23195.81113,24472.00985,25553.69671
Peru,PER,12561.24545,12944.82234,13403.44727,13771.45995,14418.07067
Philippines,PHL,6930.764463,7313.409805,7784.136699,8340.331331,8951.085654
Palau,PLW,16195.01252,17977.53101,18256.89903,17865.79081,18510.21566
Papua New Guinea,PNG,3763.077879,4081.298247,4209.043662,4353.283357,4336.244657
Poland,POL,25612.25783,26856.03522,27735.35085,29922.20498,31336.6035
Pre-demographic dividend,PRE,3767.703114,3819.812211,3894.830069,3919.523689,3985.944915
Puerto Rico,PRI,37053.7532,37715.36186,38383.03576,39006.3906,39540.58693
"Korea, Dem. People?s Rep.",PRK,,,,,
Portugal,PRT,28742.44038,29668.8592,31043.56386,32777.40197,33415.4379
Paraguay,PRY,11486.94437,11807.77259,12287.98588,12971.68385,13599.92656
West Bank and Gaza,PSE,4697.286797,4799.105387,4967.187882,5117.754563,5157.568578
Pacific island small states,PSS,5441.802743,5659.376835,5823.109935,6100.47862,6330.82474
Post-demographic dividend,PST,42846.08241,43943.7996,45125.47124,47055.58117,48705.20745
French Polynesia,PYF,,,,,
Qatar,QAT,123308.2023,123822.0833,123573.6308,124609.3041,126898.4259
Romania,ROU,20623.32437,21631.77015,23868.0692,26631.87948,28206.35705
Russian Federation,RUS,25751.51414,24061.09937,24072.27793,25766.92881,27588.12544
Rwanda,RWA,1762.105585,1890.203675,1973.146966,2078.052755,2251.556388
South Asia,SAS,5288.857306,5671.434013,6097.572772,6562.46707,7084.490975
Saudi Arabia,SAU,52550.79246,53897.94398,54159.79239,53693.3697,55335.67959
Sudan,SDN,4397.809343,4551.996918,4703.856808,4880.261517,4767.689827
Senegal,SEN,3067.034049,3205.894499,3351.536617,3556.137758,3782.538613
Singapore,SGP,86611.51359,89007.4608,91452.04273,96552.60261,101531.6302
Solomon Islands,SLB,2216.265053,2235.826964,2271.613915,2337.642672,2422.819533
Sierra Leone,SLE,1803.863023,1416.366137,1486.044851,1544.42929,1601.974029
El Salvador,SLV,7236.117362,7453.429732,7686.143937,7972.782895,8331.804142
San Marino,SMR,59290.9167,59697.44342,61250.86378,63037.12578,
Somalia,SOM,,,,,
Serbia,SRB,14659.54058,14922.13735,15615.23211,16433.44975,17434.91613
Sub-Saharan Africa (excluding high income),SSA,3755.603884,3811.929676,3810.984025,3889.143024,3985.118728
South Sudan,SSD,1920.627626,,,,
Sub-Saharan Africa,SSF,3757.662207,3814.062822,3813.193649,3891.441058,3987.503987
Small states,SST,22100.14036,22510.68134,22770.47268,23258.75826,23836.72369
Sao Tome and Principe,STP,2997.322455,3086.025098,3189.251813,3312.727969,3418.58693
Suriname,SUR,16018.08688,15472.9779,14622.05054,15002.41986,15510.46464
Slovak Republic,SVK,28991.56583,29924.12155,30824.59619,32243.84951,33736.40094
Slovenia,SVN,30870.02367,31636.75003,33191.67387,36142.79094,38048.78466
Sweden,SWE,47045.64635,48975.00451,49423.21647,51878.6944,53208.88436
Eswatini,SWZ,9565.531582,9810.545675,9953.995477,10249.51169,10637.84173
Sint Maarten (Dutch part),SXM,35547.70212,35050.42282,34568.38463,31776.40604,
Seychelles,SYC,25594.10396,26546.40585,27672.51882,29062.26285,30557.07572
Syrian Arab Republic,SYR,,,,,
Turks and Caicos Islands,TCA,20862.89067,21958.80232,22809.20614,23873.42061,25370.73354
Chad,TCD,2179.247741,2191.741795,2012.817316,1929.472752,1968.258262
East Asia & Pacific (IDA & IBRD countries),TEA,12276.7457,13111.33015,13987.95821,15058.09493,16282.93743
Europe & Central Asia (IDA & IBRD countries),TEC,20023.7849,19924.45735,20316.68722,21703.27469,22758.66419
Togo,TGO,1504.32208,1566.994218,1630.600506,1691.534408,1773.896632
Thailand,THA,15694.33668,16293.6098,16961.26557,17917.20689,19051.33338
Tajikistan,TJK,2726.507194,2851.709486,3006.511141,3216.580702,3449.779316
Turkmenistan,TKM,15144.54545,16011.55121,16895.47613,18032.22196,19304.10131
Latin America & the Caribbean (IDA & IBRD countries),TLA,15573.69078,15577.57319,15587.6428,16072.41806,16510.95875
Timor-Leste,TLS,6833.300502,8177.850186,8168.746991,7416.223344,7658.434996
Middle East & North Africa (IDA & IBRD countries),TMN,12520.35739,12570.80949,13444.77858,13857.24918,
Tonga,TON,5567.035411,5849.717335,6092.258366,6321.606933,6419.561778
South Asia (IDA & IBRD),TSA,5288.857306,5671.434013,6097.572772,6562.46707,7084.490975
Sub-Saharan Africa (IDA & IBRD countries),TSS,3757.662207,3814.062822,3813.193649,3891.441058,3987.503987
Trinidad and Tobago,TTO,32937.07201,33698.66655,31754.46967,31461.26406,32014.78313
Tunisia,TUN,11460.34826,11598.86038,11743.4899,12047.05114,12502.82019
Turkey,TUR,23967.11803,25625.57463,26150.3998,27915.52365,28068.85941
Tuvalu,TUV,3319.10486,3619.410338,3727.711339,3903.655005,4049.56438
Tanzania,TZA,2680.385594,2791.023424,2926.328043,3090.494371,3240.262937
Uganda,UGA,1820.129666,1868.547153,1908.300268,1945.358604,2038.073892
Ukraine,UKR,8710.749383,7972.435611,8289.707288,8693.693649,9249.462135
Upper middle income,UMC,15558.41838,16098.98468,16850.03067,17910.42392,19028.86276
Uruguay,URY,21069.23438,21300.97607,21820.25901,22728.13475,23572.17746
United States,USA,55032.958,56803.47243,57904.20196,59927.92983,62794.58565
Uzbekistan,UZB,6866.481774,7327.832069,7723.937506,8084.651372,8556.051512
St. Vincent and the Grenadines,VCT,10948.04925,11182.83559,11486.90066,11782.722,12287.9755
"Venezuela, RB",VEN,18102.46829,,,,
British Virgin Islands,VGB,,,,,
Virgin Islands (U.S.),VIR,,,,,
Vietnam,VNM,5613.627304,5989.75769,6365.289485,6857.984044,7447.814334
Vanuatu,VUT,2997.943089,2954.966829,3011.853589,3123.565004,3221.149823
World,WLD,15342.94675,15815.028,16358.48564,17151.60105,17948.41704
Samoa,WSM,5570.620519,5831.525656,6336.645501,6495.387727,6483.534228
Kosovo,XKX,9194.741819,9781.019679,10208.8579,10756.66346,11348.36345
"Yemen, Rep.",YEM,4045.500031,3320.110156,2827.691023,2645.308383,2575.126385
South Africa,ZAF,13090.47683,13185.25328,13188.02962,13438.28289,13686.88236
Zambia,ZMB,3893.549478,3927.761816,3998.004435,4090.12004,4223.906936
Zimbabwe,ZWE,2648.568967,2679.580317,2687.385429,2825.725122,3029.793005
